PLAYER NAME,TEAM,POS,BYE,FP RANK,SITE RANK,LANDMINE,ADP
Jonathon Brooks,CAR,RB,5,86,104,4.6,
Isaiah Likely,NYG,TE,8,122,105,6.5,
Jakobi Meyers,JAC,WR,7,107,106,5.1,
Stefon Diggs,WAS,WR,7,92,107,5.3,
Kenny Gainwell,TB,RB,10,97,108,5.0,
Quentin Johnston,LAC,WR,7,89,109,4.8,
Jayden Reed,GB,WR,11,102,110,4.9,
Jacory Croskey-Merritt,WAS,RB,7,111,111,5.6,
Wan'Dale Robinson,TEN,WR,9,83,112,3.7,
Jordan Mason,MIN,RB,6,114,113,5.8,
Bo Nix,DEN,QB,10,94,114,4.3,
Brock Purdy,SF,QB,8,90,115,3.8,
KC Concepcion,CLE,WR,11,115,116,5.4,
Dallas Goedert,PHI,TE,10,121,117,5.6,
Aaron Jones Sr.,MIN,RB,6,118,118,5.6,
Oronde Gadsden II,LAC,TE,7,187,119,10.0,
Matthew Golden,GB,WR,11,126,120,5.3,
Mark Andrews,BAL,TE,13,132,121,5.8,
Rachaad White,WAS,RB,7,113,122,5.0,
Romeo Doubs,NE,WR,11,127,123,5.8,
Jared Goff,DET,QB,6,105,124,5.1,
Deebo Samuel Sr.,SF,WR,8,143,125,6.2,
Hunter Henry,NE,TE,11,155,126,6.5,
Xavier Worthy,KC,WR,5,129,127,5.4,
Khalil Shakir,BUF,WR,7,123,128,4.9,
Baker Mayfield,TB,QB,10,120,129,5.2,
Chris Rodriguez Jr.,JAC,RB,7,139,130,6.0,
Jalen Coker,CAR,WR,5,124,131,5.1,
Tyler Allgeier,ARI,RB,14,136,132,5.8,
Zach Charbonnet,SEA,RB,11,147,133,6.3,
Rashid Shaheed,SEA,WR,11,142,134,5.7,
Jordan Love,GB,QB,11,116,135,5.4,
Kenyon Sadiq,NYJ,TE,13,190,136,8.4,
Brenton Strange,JAC,TE,7,153,137,6.5,
Brian Robinson Jr.,ATL,RB,11,168,138,6.9,
De'Zhaun Stribling,SF,WR,8,131,139,4.9,
Ja'Kobi Lane,BAL,WR,13,201,140,8.6,
Woody Marks,HOU,RB,8,133,141,4.8,
Kyler Murray,MIN,QB,6,112,142,3.9,
Alvin Kamara,NO,RB,8,156,143,6.0,
Tyrone Tracy Jr.,NYG,RB,8,161,144,6.4,
T.J. Hockenson,MIN,TE,6,173,145,6.3,
Denzel Boston,CLE,WR,11,149,146,5.4,
Tyjae Spears,TEN,RB,9,137,147,4.9,
Jonah Coleman,DEN,RB,10,146,148,5.2,
Travis Hunter,JAC,WR,7,182,149,6.2,
Mike Washington Jr.,LV,RB,13,154,150,5.4,
Tank Dell,HOU,WR,8,196,151,7.3,
Sam Darnold,SEA,QB,11,138,152,5.5,
Tank Bigsby,PHI,RB,10,158,153,5.8,
Fernando Mendoza,LV,QB,13,224,154,9.2,
Keaton Mitchell,LAC,RB,7,144,155,4.8,
Jalen Nailor,LV,WR,13,179,156,6.7,
AJ Barner,SEA,TE,11,184,157,7.9,
Tyler Shough,NO,QB,8,125,158,3.5,
Isiah Pacheco,DET,RB,6,157,159,5.3,
Chig Okonkwo,WAS,TE,7,150,160,6.0,
Juwan Johnson,NO,TE,8,130,161,3.9,
Dylan Sampson,CLE,RB,11,145,162,4.6,
Omar Cooper Jr.,NYJ,WR,13,172,163,5.5,
Jerry Jeudy,CLE,WR,11,163,164,4.9,
Zachariah Branch,ATL,WR,11,204,165,7.3,
