PLAYER NAME,TEAM,POS,BYE,FP RANK,SITE RANK,LANDMINE,ADP
Brian Thomas Jr.,JAC,WR,7,78,108,4.2,113.3
Jake Ferguson,DAL,TE,14,122,109,5.6,115.3
Matthew Golden,GB,WR,11,124,110,7.0,115.9
Aaron Jones Sr.,MIN,RB,6,114,111,7.4,117.8
Pittsburgh Steelers,PIT,DST,,,112,,120.9
Jakobi Meyers,JAC,WR,7,105,113,5.8,121.3
Isaiah Likely,NYG,TE,8,121,114,5.6,122.8
Ka'imi Fairbairn,HOU,K,,,115,,124.1
Kyle Monangai,CHI,RB,10,117,116,6.0,125.3
Jordan Addison,MIN,WR,6,102,117,5.5,125.3
Chris Godwin Jr.,TB,WR,10,66,118,4.6,125.7
Mark Andrews,BAL,TE,13,129,119,5.7,126.6
Travis Hunter,JAC,WR,7,181,120,10.0,127.2
Blake Corum,LAR,RB,11,113,121,5.7,127.6
Harrison Mevis,LAR,K,,,122,,129.1
RJ Harvey,DEN,RB,10,91,123,4.5,129.2
Rachaad White,WAS,RB,7,118,124,6.9,129.4
Dalton Kincaid,BUF,TE,7,107,125,4.2,132.3
Baltimore Ravens,BAL,DST,,,126,,133.5
Xavier Worthy,KC,WR,5,125,127,5.6,133.6
Quentin Johnston,LAC,WR,7,86,128,4.0,135.4
Makai Lemon,PHI,WR,10,108,129,4.5,136.2
Philadelphia Eagles,PHI,DST,,,130,,137.2
Kyler Murray,MIN,QB,6,109,131,5.6,137.3
De'Zhaun Stribling,SF,WR,8,131,132,6.2,137.8
Jared Goff,DET,QB,6,103,133,4.4,137.9
Jacory Croskey-Merritt,WAS,RB,7,111,134,5.1,138.0
Josh Downs,IND,WR,13,89,135,4.9,138.2
Khalil Shakir,BUF,WR,7,123,136,6.6,138.7
Jayden Reed,GB,WR,11,96,137,3.9,140.0
Jordan Mason,MIN,RB,6,120,138,4.8,141.0
Cam Little,JAX,K,,,139,,141.0
Eddy Pineiro,SF,K,,,140,,143.1
Harrison Butker,KC,K,,,141,,144.2
Deebo Samuel Sr.,SF,WR,8,140,142,5.6,145.3
Baker Mayfield,TB,QB,10,119,143,5.1,147.6
