RK,PLAYER NAME,TEAM,POS,NAT,GP,PTS,PPG
109,Steven Dunbar Jr.,HAM,WR,,0,0.0,0.0
110,Jaelon Acklin,WPG,WR,,0,0.0,0.0
111,Lucky Whitehead,CGY,WR,,0,0.0,0.0
112,Alex Taylor,EDM,WR,,0,0.0,0.0
113,Dominique Rhymes,WPG,WR,,0,0.0,0.0
114,Rashard Davis,EDM,WR,,0,0.0,0.0
115,Dillon Mitchell,EDM,WR,Y,0,0.0,0.0
116,Cole Tucker,WPG,WR,Y,0,0.0,0.0
117,Shaq Evans,SSK,WR,,0,0.0,0.0
118,Mike Jones Jr.,HAM,WR,,0,0.0,0.0
119,Kenny Stafford,EDM,WR,,0,0.0,0.0
120,Cariel Brooks,CGY,WR,,0,0.0,0.0
121,Adam Auclair,MTL,WR,Y,0,0.0,0.0
122,Bralon Addison,EDM,WR,,0,0.0,0.0
123,Christopher Kolade,HAM,WR,,0,0.0,0.0
124,Jordan Williams,HAM,WR,,0,0.0,0.0
125,Tevin Mitchell,TOR,WR,,0,0.0,0.0
126,Jarrod Straughter,SSK,WR,,0,0.0,0.0
127,Malik Henry,CGY,WR,,0,0.0,0.0
128,Diontae Spencer,OTT,WR,,0,0.0,0.0
129,Marcus Thigpen,EDM,WR,,0,0.0,0.0
130,Deon Lacey,WPG,WR,,0,0.0,0.0
131,Kevin Elliott,TOR,WR,,0,0.0,0.0
132,DeVier Posey,BC,WR,,0,0.0,0.0
